Kernel,Class,F1-Score,Precision,Recall,k,lambda
WK,0,0.9473684210526316,1.0,0.9,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,1.0,1.0,1.0,,
NGK,0,1.0,1.0,1.0,3.0,
NGK,1,1.0,1.0,1.0,3.0,
NGK,2,1.0,1.0,1.0,3.0,
SSK,0,0.8181818181818182,0.75,0.9,3.0,0.5
SSK,1,0.7058823529411764,0.8571428571428571,0.6,3.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,3.0,0.5
NGK,0,1.0,1.0,1.0,4.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,4.0,
NGK,2,0.9473684210526316,1.0,0.9,4.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,4.0,0.5
SSK,1,0.8421052631578948,0.8888888888888888,0.8,4.0,0.5
SSK,2,0.9,0.9,0.9,4.0,0.5
NGK,0,1.0,1.0,1.0,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,0.9473684210526316,1.0,0.9,5.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,5.0,0.5
SSK,1,0.8421052631578948,0.8888888888888888,0.8,5.0,0.5
SSK,2,0.9,0.9,0.9,5.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,6.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,6.0,
NGK,2,0.9473684210526316,1.0,0.9,6.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,6.0,0.5
SSK,1,0.8421052631578948,0.8888888888888888,0.8,6.0,0.5
SSK,2,0.9,0.9,0.9,6.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,7.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,7.0,
NGK,2,0.9473684210526316,1.0,0.9,7.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,7.0,0.5
SSK,1,0.8421052631578948,0.8888888888888888,0.8,7.0,0.5
SSK,2,0.9,0.9,0.9,7.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,8.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,8.0,
NGK,2,1.0,1.0,1.0,8.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,8.0,0.5
SSK,1,0.8421052631578948,0.8888888888888888,0.8,8.0,0.5
SSK,2,0.9,0.9,0.9,8.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,10.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,10.0,
NGK,2,0.9473684210526316,1.0,0.9,10.0,
SSK,0,0.8571428571428572,0.8181818181818182,0.9,10.0,0.5
