Kernel,Class,F1-Score,Precision,Recall,k,lambda
WK,0,0.9743589743589743,1.0,0.95,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,0.9500000000000001,0.95,0.95,,
WK,3,0.9743589743589743,1.0,0.95,,
NGK,0,1.0,1.0,1.0,3.0,
NGK,1,0.975609756097561,0.9523809523809523,1.0,3.0,
NGK,2,0.9500000000000001,0.95,0.95,3.0,
NGK,3,0.9743589743589743,1.0,0.95,3.0,
SSK,0,0.9500000000000001,0.95,0.95,3.0,0.5
SSK,1,0.761904761904762,0.7272727272727273,0.8,3.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,3.0,0.5
SSK,3,0.8333333333333334,0.9375,0.75,3.0,0.5
NGK,0,1.0,1.0,1.0,4.0,
NGK,1,0.975609756097561,0.9523809523809523,1.0,4.0,
NGK,2,0.9500000000000001,0.95,0.95,4.0,
NGK,3,0.9743589743589743,1.0,0.95,4.0,
SSK,0,0.9500000000000001,0.95,0.95,4.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,4.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,4.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,4.0,0.5
NGK,0,0.9743589743589743,1.0,0.95,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,0.9500000000000001,0.95,0.95,5.0,
NGK,3,0.9743589743589743,1.0,0.95,5.0,
SSK,0,0.9500000000000001,0.95,0.95,5.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,5.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,5.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,5.0,0.5
NGK,0,0.9743589743589743,1.0,0.95,6.0,
NGK,1,0.975609756097561,0.9523809523809523,1.0,6.0,
NGK,2,0.975609756097561,0.9523809523809523,1.0,6.0,
NGK,3,0.9743589743589743,1.0,0.95,6.0,
SSK,0,0.9500000000000001,0.95,0.95,6.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,6.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,6.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,6.0,0.5
NGK,0,0.9500000000000001,0.95,0.95,7.0,
NGK,1,0.975609756097561,0.9523809523809523,1.0,7.0,
NGK,2,0.9268292682926829,0.9047619047619048,0.95,7.0,
NGK,3,0.9473684210526316,1.0,0.9,7.0,
SSK,0,0.9500000000000001,0.95,0.95,7.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,7.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,7.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,7.0,0.5
NGK,0,0.9743589743589743,1.0,0.95,8.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,8.0,
NGK,2,0.9268292682926829,0.9047619047619048,0.95,8.0,
NGK,3,0.9473684210526316,1.0,0.9,8.0,
SSK,0,0.9500000000000001,0.95,0.95,8.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,8.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,8.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,8.0,0.5
NGK,0,0.9743589743589743,1.0,0.95,10.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,10.0,
NGK,2,0.9047619047619048,0.8636363636363636,0.95,10.0,
NGK,3,0.9189189189189189,1.0,0.85,10.0,
SSK,0,0.9500000000000001,0.95,0.95,10.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,10.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,10.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,10.0,0.5
NGK,0,0.975609756097561,0.9523809523809523,1.0,12.0,
NGK,1,0.9230769230769231,0.9473684210526315,0.9,12.0,
NGK,2,0.8780487804878048,0.8571428571428571,0.9,12.0,
NGK,3,0.9230769230769231,0.9473684210526315,0.9,12.0,
SSK,0,0.9500000000000001,0.95,0.95,12.0,0.5
SSK,1,0.7804878048780488,0.7619047619047619,0.8,12.0,0.5
SSK,2,0.8571428571428572,0.8181818181818182,0.9,12.0,0.5
SSK,3,0.8648648648648648,0.9411764705882353,0.8,12.0,0.5
WK,0,0.975609756097561,0.9523809523809523,1.0,,
WK,1,0.9743589743589743,1.0,0.95,,
WK,2,1.0,1.0,1.0,,
WK,3,1.0,1.0,1.0,,
NGK,0,0.9523809523809523,0.9090909090909091,1.0,3.0,
NGK,1,0.9743589743589743,1.0,0.95,3.0,
NGK,2,0.9743589743589743,1.0,0.95,3.0,
NGK,3,1.0,1.0,1.0,3.0,
SSK,0,0.8181818181818182,0.75,0.9,3.0,0.5
SSK,1,0.8108108108108107,0.8823529411764706,0.75,3.0,0.5
SSK,2,0.7368421052631577,0.7777777777777778,0.7,3.0,0.5
