Kernel,k,lambda,Class,F1-Score,Precision,Recall
SSK k comb,"(3, 4)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 4)",0.5,1,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 4)",0.5,2,0.9,0.9,0.9
SSK k comb,"(3, 5)",0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(3, 5)",0.5,1,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 5)",0.5,2,0.9,0.9,0.9
SSK k comb,"(3, 6)",0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK k comb,"(3, 6)",0.5,1,0.8421052631578948,0.8888888888888888,0.8
SSK k comb,"(3, 6)",0.5,2,0.9,0.9,0.9
SSK k comb,"(3, 4)",0.5,0,0.9,0.9,0.9
SSK k comb,"(3, 4)",0.5,1,0.8000000000000002,0.8,0.8
SSK k comb,"(3, 4)",0.5,2,0.8000000000000002,0.8,0.8
SSK k comb,"(3, 5)",0.5,0,0.9,0.9,0.9
SSK k comb,"(3, 5)",0.5,1,0.8000000000000002,0.8,0.8
SSK k comb,"(3, 5)",0.5,2,0.8000000000000002,0.8,0.8
SSK k comb,"(3, 6)",0.5,0,0.9,0.9,0.9
SSK k comb,"(3, 6)",0.5,1,0.8000000000000002,0.8,0.8
SSK k comb,"(3, 6)",0.5,2,0.8000000000000002,0.8,0.8
SSK k comb,"(3, 4)",0.5,0,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 4)",0.5,1,0.631578947368421,0.6666666666666666,0.6
SSK k comb,"(3, 4)",0.5,2,0.6956521739130435,0.6153846153846154,0.8
SSK k comb,"(3, 5)",0.5,0,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 5)",0.5,1,0.631578947368421,0.6666666666666666,0.6
SSK k comb,"(3, 5)",0.5,2,0.6956521739130435,0.6153846153846154,0.8
SSK k comb,"(3, 6)",0.5,0,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 6)",0.5,1,0.631578947368421,0.6666666666666666,0.6
SSK k comb,"(3, 6)",0.5,2,0.6956521739130435,0.6153846153846154,0.8
SSK k comb,"(3, 4)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 4)",0.5,1,0.7,0.7,0.7
SSK k comb,"(3, 4)",0.5,2,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 5)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 5)",0.5,1,0.7,0.7,0.7
SSK k comb,"(3, 5)",0.5,2,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 6)",0.5,0,0.8181818181818182,0.75,0.9
SSK k comb,"(3, 6)",0.5,1,0.7,0.7,0.7
SSK k comb,"(3, 6)",0.5,2,0.7777777777777777,0.875,0.7
SSK k comb,"(3, 4)",0.5,0,0.7,0.7,0.7
SSK k comb,"(3, 4)",0.5,1,0.7,0.7,0.7
SSK k comb,"(3, 4)",0.5,2,0.7,0.7,0.7
SSK k comb,"(3, 5)",0.5,0,0.7,0.7,0.7
SSK k comb,"(3, 5)",0.5,1,0.7,0.7,0.7
SSK k comb,"(3, 5)",0.5,2,0.7,0.7,0.7
SSK k comb,"(3, 6)",0.5,0,0.7,0.7,0.7
SSK k comb,"(3, 6)",0.5,1,0.7,0.7,0.7
SSK k comb,"(3, 6)",0.5,2,0.7,0.7,0.7
