Kernel,k,lambdas,Class,F1-Score,Precision,Recall
SSK lambda comb,5,"0.05,0",0,0.7826086956521738,0.6923076923076923,0.9
SSK lambda comb,5,"0.05,0",1,0.8181818181818182,0.75,0.9
SSK lambda comb,5,"0.05,0",2,0.6666666666666666,1.0,0.5
SSK lambda comb,5,"0.5,0",0,0.8571428571428572,0.8181818181818182,0.9
SSK lambda comb,5,"0.5,0",1,0.8421052631578948,0.8888888888888888,0.8
SSK lambda comb,5,"0.5,0",2,0.9,0.9,0.9
SSK lambda comb,5,"0.05,0.5",0,0.8571428571428572,0.8181818181818182,0.9
SSK lambda comb,5,"0.05,0.5",1,0.8421052631578948,0.8888888888888888,0.8
SSK lambda comb,5,"0.05,0.5",2,0.9,0.9,0.9
SSK lambda comb,5,"0.05,0",0,0.8235294117647058,1.0,0.7
SSK lambda comb,5,"0.05,0",1,0.6666666666666666,0.6363636363636364,0.7
SSK lambda comb,5,"0.05,0",2,0.6363636363636365,0.5833333333333334,0.7
SSK lambda comb,5,"0.5,0",0,0.9,0.9,0.9
SSK lambda comb,5,"0.5,0",1,0.8000000000000002,0.8,0.8
SSK lambda comb,5,"0.5,0",2,0.8000000000000002,0.8,0.8
SSK lambda comb,5,"0.05,0.5",0,0.9,0.9,0.9
SSK lambda comb,5,"0.05,0.5",1,0.8000000000000002,0.8,0.8
SSK lambda comb,5,"0.05,0.5",2,0.8000000000000002,0.8,0.8
SSK lambda comb,5,"0.05,0",0,0.8000000000000002,0.8,0.8
SSK lambda comb,5,"0.05,0",1,0.588235294117647,0.7142857142857143,0.5
SSK lambda comb,5,"0.05,0",2,0.6956521739130435,0.6153846153846154,0.8
SSK lambda comb,5,"0.5,0",0,0.7777777777777777,0.875,0.7
SSK lambda comb,5,"0.5,0",1,0.631578947368421,0.6666666666666666,0.6
SSK lambda comb,5,"0.5,0",2,0.6956521739130435,0.6153846153846154,0.8
SSK lambda comb,5,"0.05,0.5",0,0.7777777777777777,0.875,0.7
SSK lambda comb,5,"0.05,0.5",1,0.631578947368421,0.6666666666666666,0.6
SSK lambda comb,5,"0.05,0.5",2,0.6956521739130435,0.6153846153846154,0.8
SSK lambda comb,5,"0.05,0",0,0.8571428571428572,0.8181818181818182,0.9
SSK lambda comb,5,"0.05,0",1,0.761904761904762,0.7272727272727273,0.8
SSK lambda comb,5,"0.05,0",2,0.7777777777777777,0.875,0.7
SSK lambda comb,5,"0.5,0",0,0.8571428571428572,0.8181818181818182,0.9
SSK lambda comb,5,"0.5,0",1,0.761904761904762,0.7272727272727273,0.8
SSK lambda comb,5,"0.5,0",2,0.7777777777777777,0.875,0.7
SSK lambda comb,5,"0.05,0.5",0,0.8571428571428572,0.8181818181818182,0.9
SSK lambda comb,5,"0.05,0.5",1,0.761904761904762,0.7272727272727273,0.8
SSK lambda comb,5,"0.05,0.5",2,0.7777777777777777,0.875,0.7
SSK lambda comb,5,"0.05,0",0,0.761904761904762,0.7272727272727273,0.8
SSK lambda comb,5,"0.05,0",1,0.631578947368421,0.6666666666666666,0.6
SSK lambda comb,5,"0.05,0",2,0.6,0.6,0.6
SSK lambda comb,5,"0.5,0",0,0.7,0.7,0.7
SSK lambda comb,5,"0.5,0",1,0.7,0.7,0.7
SSK lambda comb,5,"0.5,0",2,0.7,0.7,0.7
SSK lambda comb,5,"0.05,0.5",0,0.7,0.7,0.7
SSK lambda comb,5,"0.05,0.5",1,0.7,0.7,0.7
SSK lambda comb,5,"0.05,0.5",2,0.7,0.7,0.7
