Kernel,Class,F1-Score,Precision,Recall,k,lambda
WK,0,0.9743589743589743,1.0,0.95,,
WK,1,0.9523809523809523,0.9090909090909091,1.0,,
WK,2,0.9500000000000001,0.95,0.95,,
WK,3,0.9743589743589743,1.0,0.95,,
NGK,0,0.9743589743589743,1.0,0.95,5.0,
NGK,1,0.9523809523809523,0.9090909090909091,1.0,5.0,
NGK,2,0.9500000000000001,0.95,0.95,5.0,
NGK,3,0.9743589743589743,1.0,0.95,5.0,
SSK,0,0.5882352941176471,0.4166666666666667,1.0,5.0,0.01
SSK,1,0.18181818181818182,1.0,0.1,5.0,0.01
SSK,2,0.2758620689655173,0.4444444444444444,0.2,5.0,0.01
SSK,3,0.4390243902439024,0.42857142857142855,0.45,5.0,0.01
SSK,0,0.5882352941176471,0.4166666666666667,1.0,5.0,0.03
SSK,1,0.18181818181818182,1.0,0.1,5.0,0.03
SSK,2,0.2758620689655173,0.4444444444444444,0.2,5.0,0.03
SSK,3,0.4390243902439024,0.42857142857142855,0.45,5.0,0.03
SSK,0,0.8260869565217392,0.7307692307692307,0.95,5.0,0.05
SSK,1,0.4090909090909091,0.375,0.45,5.0,0.05
SSK,2,0.2758620689655173,0.4444444444444444,0.2,5.0,0.05
SSK,3,0.4390243902439024,0.42857142857142855,0.45,5.0,0.05
SSK,0,0.8444444444444444,0.76,0.95,5.0,0.07
SSK,1,0.3902439024390244,0.38095238095238093,0.4,5.0,0.07
SSK,2,0.2758620689655173,0.4444444444444444,0.2,5.0,0.07
SSK,3,0.48888888888888893,0.44,0.55,5.0,0.07
SSK,0,0.9047619047619048,0.8636363636363636,0.95,5.0,0.09
SSK,1,0.46511627906976744,0.43478260869565216,0.5,5.0,0.09
SSK,2,0.26666666666666666,0.4,0.2,5.0,0.09
SSK,3,0.48888888888888893,0.44,0.55,5.0,0.09
SSK,0,0.9268292682926829,0.9047619047619048,0.95,5.0,0.1
SSK,1,0.45454545454545453,0.4166666666666667,0.5,5.0,0.1
SSK,2,0.26666666666666666,0.4,0.2,5.0,0.1
SSK,3,0.48888888888888893,0.44,0.55,5.0,0.1
SSK,0,0.9743589743589743,1.0,0.95,5.0,0.3
SSK,1,0.46511627906976744,0.43478260869565216,0.5,5.0,0.3
SSK,2,0.5128205128205129,0.5263157894736842,0.5,5.0,0.3
SSK,3,0.5641025641025641,0.5789473684210527,0.55,5.0,0.3
SSK,0,0.9743589743589743,1.0,0.95,5.0,0.5
SSK,1,0.7368421052631577,0.7777777777777778,0.7,5.0,0.5
SSK,2,0.7555555555555556,0.68,0.85,5.0,0.5
SSK,3,0.7894736842105262,0.8333333333333334,0.75,5.0,0.5
SSK,0,0.9743589743589743,1.0,0.95,5.0,0.7
SSK,1,0.8780487804878048,0.8571428571428571,0.9,5.0,0.7
SSK,2,0.8571428571428572,0.8181818181818182,0.9,5.0,0.7
SSK,3,0.8947368421052632,0.9444444444444444,0.85,5.0,0.7
WK,0,0.975609756097561,0.9523809523809523,1.0,,
WK,1,0.9743589743589743,1.0,0.95,,
WK,2,1.0,1.0,1.0,,
WK,3,1.0,1.0,1.0,,
NGK,0,0.975609756097561,0.9523809523809523,1.0,5.0,
NGK,1,0.9743589743589743,1.0,0.95,5.0,
NGK,2,0.9743589743589743,1.0,0.95,5.0,
NGK,3,0.975609756097561,0.9523809523809523,1.0,5.0,
SSK,0,0.48,0.32727272727272727,0.9,5.0,0.01
SSK,1,0.0,0.0,0.0,5.0,0.01
SSK,2,0.15384615384615383,0.3333333333333333,0.1,5.0,0.01
SSK,3,0.4736842105263158,0.5,0.45,5.0,0.01
SSK,0,0.48,0.32727272727272727,0.9,5.0,0.03
SSK,1,0.0,0.0,0.0,5.0,0.03
SSK,2,0.15384615384615383,0.3333333333333333,0.1,5.0,0.03
SSK,3,0.4736842105263158,0.5,0.45,5.0,0.03
SSK,0,0.723404255319149,0.6296296296296297,0.85,5.0,0.05
SSK,1,0.3673469387755102,0.3103448275862069,0.45,5.0,0.05
SSK,2,0.14814814814814817,0.2857142857142857,0.1,5.0,0.05
SSK,3,0.4324324324324324,0.47058823529411764,0.4,5.0,0.05
SSK,0,0.7692307692307692,0.7894736842105263,0.75,5.0,0.07
SSK,1,0.4615384615384615,0.375,0.6,5.0,0.07
SSK,2,0.21428571428571425,0.375,0.15,5.0,0.07
SSK,3,0.4878048780487805,0.47619047619047616,0.5,5.0,0.07
SSK,0,0.8421052631578948,0.8888888888888888,0.8,5.0,0.09
SSK,1,0.5000000000000001,0.40625,0.65,5.0,0.09
SSK,2,0.20689655172413793,0.3333333333333333,0.15,5.0,0.09
SSK,3,0.4878048780487805,0.47619047619047616,0.5,5.0,0.09
SSK,0,0.8421052631578948,0.8888888888888888,0.8,5.0,0.1
SSK,1,0.5000000000000001,0.40625,0.65,5.0,0.1
SSK,2,0.20689655172413793,0.3333333333333333,0.15,5.0,0.1
SSK,3,0.4878048780487805,0.47619047619047616,0.5,5.0,0.1
